CustomerID,CLV_High_Prob,CLV_Tier
14681.0,0.12196597187757967,Not-High
15109.0,0.038077064906571124,Not-High
16838.0,0.10510660033120701,Not-High
17930.0,0.4814552650111736,Not-High
16967.0,0.19544401783646562,Not-High
15660.0,0.10291490046756366,Not-High
14053.0,0.034865701498968255,Not-High
16178.0,0.04399942749353847,Not-High
16483.0,0.02026965414220032,Not-High
13798.0,0.9972759801983231,High
14198.0,0.03798881333842731,Not-High
14595.0,0.32057442687353394,Not-High
15406.0,0.0941493481131894,Not-High
12494.0,0.15648322559635222,Not-High
13883.0,0.7742869209065497,High
17248.0,0.2790996060486047,Not-High
13849.0,0.6688439594951257,High
15517.0,0.03727740222589605,Not-High
16610.0,0.005220807804371858,Not-High
13819.0,0.30118028402086217,Not-High
13397.0,0.15058798320321595,Not-High
15786.0,0.7265362304058236,High
15030.0,0.14005999844781014,Not-High
15811.0,0.31356427631164185,Not-High
13265.0,0.3257732576884364,Not-High
13052.0,0.17950548175678124,Not-High
17615.0,0.038727727073325904,Not-High
17349.0,0.009660560731855167,Not-High
16770.0,0.14677703984191182,Not-High
18246.0,0.10686461283935714,Not-High
12649.0,0.15521886942440255,Not-High
12815.0,0.1676852623302576,Not-High
16112.0,0.014568535960116457,Not-High
12493.0,0.11492422492799527,Not-High
15464.0,0.3712726768246773,Not-High
13381.0,0.7586899662579021,High
15895.0,0.019949092237200306,Not-High
15755.0,0.5229148279369332,High
12915.0,0.07882084200373983,Not-High
15111.0,0.32721607923036256,Not-High
13304.0,0.06208990135114321,Not-High
14129.0,0.22526702305419116,Not-High
15493.0,0.30151699120215997,Not-High
16810.0,0.06121787453367232,Not-High
17675.0,0.9965099111936505,High
16411.0,0.12319971210753397,Not-High
13802.0,0.7907871471875235,High
12680.0,0.13102276178423217,Not-High
14323.0,0.18987504569308378,Not-High
15727.0,0.7435817134018013,High
16395.0,0.3267376673070865,Not-High
13869.0,0.4832903890584587,Not-High
13013.0,0.9252654152414963,High
13008.0,0.03553598289050824,Not-High
14440.0,0.4534226524112831,Not-High
14142.0,0.16436818769602246,Not-High
14377.0,0.06583941013907765,Not-High
12917.0,0.15593844398236129,Not-High
17227.0,0.019848240786155637,Not-High
17724.0,0.2028841297626025,Not-High
17997.0,0.4205728431897117,Not-High
13395.0,0.05425384585788046,Not-High
15389.0,0.19901702871912463,Not-High
14214.0,0.23152665651399038,Not-High
17191.0,0.33417100315136,Not-High
12619.0,0.793962037325092,High
16877.0,0.06299114678342127,Not-High
17076.0,0.12383446185902185,Not-High
13477.0,0.14822093524333568,Not-High
16801.0,0.5287102977944105,High
15382.0,0.7584349631967786,High
14697.0,0.021015531866719166,Not-High
14817.0,0.1539739142058086,Not-High
15262.0,0.08380542050541016,Not-High
15356.0,0.4070936910589765,Not-High
15222.0,0.1791278409130719,Not-High
15211.0,0.2418911642125092,Not-High
16367.0,0.0980547480730453,Not-High
14037.0,0.039535053210767994,Not-High
13949.0,0.550903016553764,High
13124.0,0.6685689582451066,High
15134.0,0.03803580676639936,Not-High
13311.0,0.10643261290582962,Not-High
12797.0,0.10105286335941559,Not-High
17420.0,0.05221388798140732,Not-High
13410.0,0.023502714503648835,Not-High
12528.0,0.21716856063145965,Not-High
13110.0,0.1828101339020134,Not-High
17760.0,0.07503745183611062,Not-High
12872.0,0.07906189630404761,Not-High
18036.0,0.04833266872390779,Not-High
15365.0,0.4869766241035785,Not-High
13144.0,0.01351136069683218,Not-High
15606.0,0.6528648529617203,High
16714.0,0.23070417937345103,Not-High
17584.0,0.19622511347246271,Not-High
13723.0,0.07852741780116454,Not-High
14453.0,0.00949088873657839,Not-High
14297.0,0.2857658047897938,Not-High
12539.0,0.7192729875248651,High
17540.0,0.05153607802605669,Not-High
18180.0,0.49871707513407304,Not-High
15630.0,0.15688018861928424,Not-High
16102.0,0.3453567778745145,Not-High
14021.0,0.08359618269831523,Not-High
13760.0,0.04137007535096478,Not-High
18150.0,0.03706889370887341,Not-High
16670.0,0.6997659675164891,High
17624.0,0.026697761013791763,Not-High
15057.0,0.343231563278989,Not-High
15532.0,0.34637222993893785,Not-High
15777.0,0.15228897448810097,Not-High
14420.0,0.24336163202934302,Not-High
15452.0,0.15521275855343014,Not-High
13771.0,0.6476267967677024,High
16721.0,0.17055513745542555,Not-High
16159.0,0.13401361997774855,Not-High
15258.0,0.14456254166709104,Not-High
15820.0,0.02969906137539878,Not-High
14150.0,0.044529289617605196,Not-High
14570.0,0.02752022010099476,Not-High
